# OTU96	OTU273	OTU792	OTU996	OTU1737	OTU5006	OTU6043
9.440000000000000489e-11	1.679999999999999950e-11	7.819999999999999879e-11	8.509999999999999564e-11	5.999999999999999960e-11	3.510000000000000028e-11	9.760000000000000418e-11
6.280000000000000544e-11	7.030000000000000539e-11	4.429999999999999824e-11	9.529999999999999661e-11	4.109999999999999895e-11	1.759999999999999932e-11	3.879999999999999785e-11
7.750000000000000379e-11	9.239999999999999887e-11	8.280000000000000100e-11	5.640000000000000202e-13	1.180000000000000061e-11	9.899999999999999417e-11	8.479999999999999409e-11
7.050000000000000212e-11	4.800000000000000227e-11	9.840000000000000400e-11	7.190000000000000504e-11	2.179999999999999839e-11	9.220000000000000214e-11	8.939999999999999630e-11
5.609999999999999885e-11	6.309999999999999407e-11	6.289999999999999734e-11	8.500000000000000374e-11	3.500000000000000192e-11	1.990000000000000043e-11	3.310000000000000073e-11
5.059999999999999846e-11	3.630000000000000002e-11	4.370000000000000161e-12	4.739999999999999917e-11	6.019999999999999633e-11	1.160000000000000066e-11	8.850000000000000458e-11
6.419999999999999544e-11	9.229999999999999404e-11	7.940000000000000499e-11	6.129999999999999931e-12	9.749999999999999935e-11	2.299999999999999792e-13	7.210000000000000176e-11
2.299999999999999893e-12	4.699999999999999926e-11	9.760000000000000418e-11	4.279999999999999696e-11	6.259999999999999579e-11	5.720000000000000022e-11	8.470000000000000219e-11
2.340000000000000127e-11	4.340000000000000006e-11	1.659999999999999954e-11	5.029999999999999691e-11	8.319999999999999445e-11	3.289999999999999754e-11	7.969999999999999361e-11
2.540000000000000082e-11	6.950000000000000557e-11	5.919999999999999978e-11	5.209999999999999974e-11	6.650000000000000300e-11	7.160000000000000349e-11	9.639999999999999798e-11
6.849999999999999610e-11	8.690000000000000494e-11	5.950000000000000133e-11	1.490000000000000154e-11	9.049999999999999767e-11	1.599999999999999968e-11	2.789999999999999865e-11
1.230000000000000050e-11	1.819999999999999919e-11	2.039999999999999870e-11	3.380000000000000219e-11	5.299999999999999792e-11	8.059999999999999826e-11	2.279999999999999978e-12
9.449999999999999679e-11	6.060000000000000270e-11	5.650000000000000361e-12	5.630000000000000204e-11	4.480000000000000298e-11	5.759999999999999690e-12	8.470000000000000219e-11
1.360000000000000021e-11	4.170000000000000205e-11	8.770000000000000476e-11	9.700000000000000108e-11	7.679999999999999587e-13	8.669999999999999529e-11	6.970000000000000229e-11
2.620000000000000064e-11	7.249999999999999521e-11	6.510000000000000008e-11	6.099999999999999615e-11	3.150000000000000108e-11	6.239999999999999907e-11	1.739999999999999937e-11
4.609999999999999946e-12	7.160000000000000349e-11	6.220000000000000234e-11	5.889999999999999823e-11	7.300000000000000641e-11	4.859999999999999890e-11	1.999999999999999879e-11
1.300000000000000034e-11	6.260000000000000387e-12	3.260000000000000245e-11	4.450000000000000143e-11	2.889999999999999843e-11	7.969999999999999361e-11	1.140000000000000070e-11
